"ZZ1_FILIAL","ZZ1_CODIGO","ZZ1_FORNEC","ZZ1_LOJAFO","ZZ1_CERTIF","ZZ1_VALCER","ZZ1_TOLERA","ZZ1_TOTOK","ZZ1_TOTNOK"
"","6","100","1","122","11/10/20","99.00","6.00","6.00"
"","12","12","1","asa","10/10/10","0.00","0.00","0.00"
"","","","","","  /  /  ","0.00","0.00","0.00"
"","19","10","10","asas","11/10/10","0.00","0.00","0.00"
"","12","10","1","sadsadsa","11/12/12","0.00","0.00","0.00"
"","10","10","1","asdasdad","08/12/26","0.00","0.00","0.00"
"","30","10","1","sdsd","08/07/26","1.00","1.00","1.00"
"","12","10","1","QSCMKMCK","08/02/26","30.00","1.00","2.00"
"","12'","10","1","232DDEDE","  /  /  ","0.80","2.00","2.00"
"","12","10","1","dfefrefrf","08/07/26","10.00","2.00","2.00"
"","12","10","1","wdwqdwqd","08/05/26","0.00","0.00","0.00"
"","232","10","1","dwdwdwd","08/07/26","89.00","2.00","1.00"
